employeeId,firstName,lastName,email,phoneNumber,hireDate,ageId,jobId,salary,commissionPct,managerId,departmentId
1,John,Doe,John.Doe@atnt.com,732-450-0001,2021-09-06,33,Operations,3325.00,3.04,155,128
2,Peter,Doe,Peter.Doe@yahoo.com,732-450-0002,2021-10-20,30,Marketing,5905.00,1.08,233,70
3,Alice,Smith,Alice.Smith@yahoo.com,732-450-0003,2021-02-11,58,Human Resources,17899.00,8.38,121,57
4,Jane,Smith,Jane.Smith@facebook.com,732-450-0004,2004-12-12,25,Human Resources,20257.00,8.95,178,22
5,Zoie,Atkins,Zoie.Atkins@facebook.com,732-450-0005,2020-09-18,30,Operations,13522.00,3.23,216,98
6,Cason,Hogan,Cason.Hogan@verizon.com,732-450-0006,2002-10-22,5235,Finance,14496.00,3.34,241,74
7,Kathryn,Person,Kathryn.Person@atnt.com,732-450-0007,2005-07-09,58,Human Resources,6638.00,0.98,135,83
8,Moses,Vargas,Moses.Vargas@gmail.com,732-450-0008,2020-06-08,30,Finance,22211.00, - ,223,87
9,Andrea,Gutierrez,Andrea.Gutierrez@gmail.com,732-450-0009,2004-02-05,33,Sales,21965.00,9.45,213,25
10,Luca,Jenkins,Luca.Jenkins@gmail.com,732-450-0010,2021-10-19,33,Finance,19979.00,5.21,100,104
11,Rylee,Anderson,Rylee.Anderson@verizon.com,732-450-0011,2015-04-04,25,Engineering,10827.00,8.94,196,65
12,Jacob,House,Jacob.House@verizon.com,732-450-0012,2017-12-07,40,Marketing,3612.00,4.54,122,31
13,Sariah,Norton,Sariah.Norton@yahoo.com,732-450-0013,2006-12-14,5235,Human Resources,10845.00,5.89,281,16
14,Callen,Hammond,Callen.Hammond@atnt.com,732-450-0014,2020-11-21,30,Sales,11494.00,7.05,274,114
15,Holly,Soto,Holly.Soto@facebook.com,732-450-0015,2000-05-16,5235,Operations,12986.00,5.52,184,20
16,Barrett,O’Donnell,Barrett.O’Donnell@atnt.com,732-450-0016,2009-12-07,30,Finance,14866.00,4.39,219,97
17,Bellamy,Lawrence,Bellamy.Lawrence@verizon.com,732-450-0017,2005-12-20,45,Operations,18414.00,3.23,239,95
18,Kaleb,Cooper,Kaleb.Cooper@atnt.com,732-450-0018,2019-09-15,48,Sales,16514.00,7.79,199,69
19,Serenity,Juarez,Serenity.Juarez@gmail.com,732-450-0019,2000-05-05,48,Engineering,3555.00,8.77,180,99
20,Joaquin,Wiggins,Joaquin.Wiggins@facebook.com,732-450-0020,2011-05-20,45,Marketing,19286.00,4.70,292,106
21,Capri,Liu,Capri.Liu@atnt.com,732-450-0021,2005-06-07,40,Human Resources,13883.00,1.68,233,12
22,Pedro,House,Pedro.House@yahoo.com,732-450-0022,2011-01-09,33,Engineering,3651.00,7.47,151,94
23,Sariah,Jenkins,Sariah.Jenkins@gmail.com,732-450-0023,2010-09-24,58,Finance,12691.00,2.53,113,90
24,Declan,Wolf,Declan.Wolf@atnt.com,732-450-0024,2009-08-08,5235,Finance,22651.00,9.60,114,57
25,Jolene,Shields,Jolene.Shields@yahoo.com,732-450-0025,2005-01-02,33,Finance,14176.00,4.51,251,125
26,Devon,Tyler,Devon.Tyler@yahoo.com,732-450-0026,2010-09-20,5235,Engineering,5066.00, - ,289,87
27,Helena,Marshall,Helena.Marshall@facebook.com,732-450-0027,2015-10-28,45,Engineering,7380.00,5.81,120,39
28,Kaiden,Shaffer,Kaiden.Shaffer@gmail.com,732-450-0028,2022-10-15,33,Sales,11543.00,4.47,299,22
29,Alanna,Foster,Alanna.Foster@yahoo.com,732-450-0029,2024-09-20,5235,Finance,20297.00,5.59,166,67
30,Kayden,Medina,Kayden.Medina@gmail.com,732-450-0030,2008-05-06,40,Engineering,5134.00,1.47,234,85
31,Elliana,Hartman,Elliana.Hartman@yahoo.com,732-450-0031,2003-02-09,30,Sales,4147.00,8.58,275,81
32,Baker,Ochoa,Baker.Ochoa@atnt.com,732-450-0032,2023-04-26,25,Human Resources,14860.00, - ,221,52
33,Luciana,Dickerson,Luciana.Dickerson@atnt.com,732-450-0033,2009-09-18,45,Engineering,21851.00,6.38,146,49
34,Flynn,Michael,Flynn.Michael@atnt.com,732-450-0034,2007-12-25,25,Operations,3006.00,0.56,154,85
35,Aubriella,Correa,Aubriella.Correa@gmail.com,732-450-0035,2007-04-15,5235,Operations,5847.00,2.17,219,48
36,Zakai,Hughes,Zakai.Hughes@facebook.com,732-450-0036,2012-06-06,40,Operations,4233.00,1.93,181,77
37,Samantha,Morrison,Samantha.Morrison@verizon.com,732-450-0037,2018-01-05,48,Finance,15735.00,1.57,251,16
38,Maximus,Liu,Maximus.Liu@atnt.com,732-450-0038,2019-08-21,28,Finance,13559.00,9.79,229,13
39,Kate,Gentry,Kate.Gentry@gmail.com,732-450-0039,2015-05-09,45,Operations,4735.00,9.73,126,36
